,character,dialogue,episode,season,total_words_spoken
1,a voice, it’s maester luwin my lord,1,1,5
2,arya, move  where’s the imp  arya  that’s jaime lannister the queen’s twin brother  where’s the imp,1,1,15
3,benjen, is he dead yet  you got bigger i rode all day didn’t want to leave you alone with the lannisters why aren’t you at the feast  well you’re always welcome on the wall no bastard was ever refused a seat there  jon…  the wall isn’t going anywhere  you don’t understand what you’d be giving up we have no families none of us will ever father sons  you might if you knew what it meant … i’d better get inside rescue your father from his guests we’ll talk later  of course i did just a lad but he was tough ned a true ranger  the two he was with are still missing  maybe direwolves south of the wall talk of the walkers my brother might be the next hand to the king winter is coming  robb boy how are ye,1,1,139
4,bran, jon said he was a deserter  our way is the old way  is it true he saw the white walkers  so he was lying  where will they go their mother’s dead  no  please father  what about you  i saw the king he’s got hundreds of people  but he’s coming right now down our road  i promise  what  come on you  ten,1,1,61
5,catelyn, do you have to  ned ten is too young to see such things  all these years and i still feel like an outsider when i come here  i wonder if the old gods agree  i am so sorry my love  there was a raven from kings landing jon arryn is dead a fever took him i know he was like a father to you  they both have their health gods be good [pause] the raven brought more news the king rides for winterfell with the queen and all the rest of them  you can always say no ned  we need plenty of candles for lord tyrion’s chamber i’m told he reads all night  how much could he possibly drink a man of his … stature  in any case candles  gods but they grow fast [seeing bran on the wall] brandon  d’you know what  you always look at your feet before you lie run and find your father tell him the king is close  where’s arya sansa where’s your sister  your grace  my queen  then he is the stupidest prince that ever lived  hush now your father hasn’t even said yes  he’d have to leave home he’d have to leave me and so would you  sansa…  i’m sure it’s very grim after kings landing i remember how scared i was when ned brought me up here for the first time  i hear the same  i won’t let him take you  i’ll say ‘listen fat man you are not taking my husband anywhere he belongs to me now’  he only stops eating when it’s time for a drink  this was sent from the eyrie what’s she doing at the eyrie she hasn’t been back there since her wedding  she’s fled the capital she says jon arryn was murdered by the lannisters she says the king is in danger  lysa’s head would be on a spike right now if the wrong people had found that letter do you think she would risk her life her son’s life if she wasn’t certain her husband was murdered  they murdered the last hand now you want ned to take the job  he spent half his life fighting robert’s wars he owes him nothing  your father and brother rode south once on a king’s demand,1,1,378
6,catelyn, i want you to promise me no more climbing,1,1,9
7,cersei, and you never worry about anything when we were seven you jumped off the cliffs as casterly rock one hundred foot drop into the water and you were never afraid  what if jon arryn told someone  my husband  you should be the hand of the king  we’ve been riding for a month my love surely the dead can wait  where is our brother go find the little beast  yes lovely country  hello little dove but you are a beauty how old are you  you’re tall still growing  and have you bled yet  and your dress did you make it  such talent you must make something for me  i hear we might share a grandchild someday  your daughter will do well in the capital such a beauty shouldn’t stay hidden up here forever  stop stop  he saw us  he saw us,1,1,140
8,daenerys, we’ve been his guests for over a year and he’s never asked us for anything  no  i don’t know  thank you ser are you from my country  thank you magister  she’s beautiful … ser jorah i don’t know how to say ‘thank you’ in dothraki  do you know the common tongue  is ‘no’ the only word that you know,1,1,59
9,gared, we should head back to the wall  our orders were to track the wildlings we tracked them they won’t trouble us no more  see where they went  it’s …,1,1,29
10,illyrio, the dothraki are not known for their punctuality   may i present my honored guests viserys of house targaryen the third of his name the rightful king of the andals and the first men and his sister daenerys of the house targaryen  come forward my dear  the ceremony is over  trust me your grace if he didn’t like her we’d know  it won’t be long now soon you will cross the narrow sea and take back your father’s throne the people drink secret toasts to your health they cry out for their true king  soon the dothraki never stay still for long  i wouldn’t ask khal drogo  i take you for a king kings lack the caution of common men my apologies if i’ve given offense  if khal drogo has promised you a crown you shall have it  when their omens favor war  a dothraki wedding without at least three deaths is considered a dull affair  dragons’ eggs daenerys from the shadow lands beyond asshai the ages have turned them to stone but they will always be beautiful,1,1,177
